type_annonce,titre,location,date,modele,transsmission,carburant,image,propriétere,link,ville,quartier
Voitures d'occasion,chery tiggo 7 pro 2023 avec financement,"casablanca, ain sebaa",il y a 1 heure,2023,Automatique,Essence,N/A,autocash.ma,https://www.avito.ma/fr/ain_sebaa/voitures_d_occasion/Chery_Tiggo_7_Pro_2023_avec_financement_57108840.htm,casablanca,ain sebaa
Voitures de location,location de voiture hyundai tucson,"casablanca, maarif",il y a 1 heure,,N/A,N/A,N/A,Spie rent car,https://www.avito.ma/fr/maarif/voitures_de_location/location_de_voiture_HYUNDAI_TUCSON_54913555.htm,casablanca,maarif
Voitures d'occasion,audi q5 diesel automatique 2022 à agadir,"agadir, el houda",il y a 1 heure,2022,Automatique,Diesel,N/A,STARTUP CARS AGADIR,https://www.avito.ma/fr/el_houda/voitures_d_occasion/Audi_Q5_Diesel_Automatique_2022_à_Agadir_57459281.htm,agadir,el houda
Voitures d'occasion,208 peugeot,"marrakech, azli",il y a 1 heure,2022,Manuelle,Diesel,N/A,krd osma,https://www.avito.ma/fr/azli/voitures_d_occasion/208_peugeot_57508747.htm,marrakech,azli
Voitures d'occasion,bmw série 4)430 pak m diesel à casablanca,"casablanca, aïn chock",il y a 1 heure,2017,Automatique,Diesel,N/A,Auto Laakoud,https://www.avito.ma/fr/aïn_chock/voitures_d_occasion/BMW_Série_4_430_PAK_M_Diesel_à_Casablanca_57494877.htm,casablanca,aïn chock
Voitures d'occasion,hyundai creta 2024,"casablanca, californie",il y a 1 heure,2024,Automatique,Essence,N/A,Carlex Auto,https://www.avito.ma/fr/californie/voitures_d_occasion/Hyundai_Creta_2024_57444572.htm,casablanca,californie
Voitures d'occasion,mercedes-benz c coupé 220d 1ère main,"marrakech, hay izdihar",il y a 1 heure,2017,Automatique,Diesel,N/A,Autoconfiance,https://www.avito.ma/fr/hay_izdihar/voitures_d_occasion/Mercedes_Benz_C_Coupé_220d_1ère_Main_56886487.htm,marrakech,hay izdihar
Voitures d'occasion,renault talisman modéle 2022 full options,"fès, route ain chkaf",il y a 1 heure,2022,Automatique,Hybride,N/A,W16_autohaus,https://www.avito.ma/fr/route_ain_chkaf/voitures_d_occasion/Renault_talisman_Modéle_2022_full_options_56939344.htm,fès,route ain chkaf
Voitures d'occasion,audi a8,"casablanca, maarif",il y a 1 heure,2014,Automatique,Diesel,N/A,AUTO REDA,https://www.avito.ma/fr/maarif/voitures_d_occasion/AUDI_A8_56571878.htm,casablanca,maarif
Voitures d'occasion,stellantis - suzuki swift - 2024,"casablanca, ain sebaa",il y a 1 heure,2024,Automatique,Essence,N/A,SPOTICAR MOULAY SLIMANE,https://www.avito.ma/fr/ain_sebaa/voitures_d_occasion/Stellantis___SUZUKI_Swift___2024_56899261.htm,casablanca,ain sebaa
Voitures d'occasion,toyota c-hr distinctive 2020 automatique à rabat,"rabat, hay riad",il y a 1 heure,2020,Automatique,Hybride,N/A,SIARACASH.MA,https://www.avito.ma/fr/hay_riad/voitures_d_occasion/TOYOTA_C_HR_DISTINCTIVE_2020_Automatique_à_Rabat_56586778.htm,rabat,hay riad
Voitures d'occasion,hyundai creta automatique,"kénitra, al maghrib al arabi",il y a 1 heure,2018,Automatique,Diesel,N/A,AUTO DOUBLE VOIE,https://www.avito.ma/fr/al_maghrib_al_arabi/voitures_d_occasion/Hyundai_Creta_automatique_57369868.htm,kénitra,al maghrib al arabi
Voitures d'occasion,audi q8 diesel automatique 2020 à rabat,"rabat, hay riad",il y a 1 heure,2020,Automatique,Diesel,N/A,Auto design,https://www.avito.ma/fr/hay_riad/voitures_d_occasion/Audi_Q8_Diesel_Automatique_2020_à_Rabat_56958446.htm,rabat,hay riad
Voitures d'occasion,mercedes classe e 300 1ère main ✋️,"casablanca, aïn chock",il y a 1 heure,2013,Automatique,Diesel,N/A,Auto Simo,https://www.avito.ma/fr/aïn_chock/voitures_d_occasion/MERCEDES_CLASSE_E_300_1ère_main____52767948.htm,casablanca,aïn chock
Voitures d'occasion,audi a6 diesel automatique 2023 à rabat,"rabat, hay riad",il y a 1 heure,2023,Automatique,Diesel,N/A,Auto design,https://www.avito.ma/fr/hay_riad/voitures_d_occasion/Audi_A6_Diesel_Automatique_2023_à_Rabat_56455830.htm,rabat,hay riad
Voitures d'occasion,toyota corolla prestige 1.8 dynamic,"casablanca, ain sebaa",il y a 1 heure,2021,Automatique,Hybride,N/A,otoclic casablanca,https://www.avito.ma/fr/ain_sebaa/voitures_d_occasion/Toyota_Corolla_Prestige_1_8_Dynamic_51662815.htm,casablanca,ain sebaa
Voitures d'occasion,bmw série 1 118d pack sport,"casablanca, aïn chock",il y a 1 heure,2017,Automatique,Diesel,N/A,Auto Fassi,https://www.avito.ma/fr/aïn_chock/voitures_d_occasion/BMW_série_1_118d_pack_sport_57280001.htm,casablanca,aïn chock
Voitures d'occasion,mercedes glc 300de hybride diesel,"casablanca, aïn chock",il y a 1 heure,2021,Automatique,Hybride,N/A,yassine,https://www.avito.ma/fr/aïn_chock/voitures_d_occasion/Mercedes_GLC_300de_hybride_diesel_57004621.htm,casablanca,aïn chock
Voitures d'occasion,mercedes-benz classe glc diesel automatique 2022,"rabat, hay riad",il y a 1 heure,2022,Automatique,Diesel,N/A,Auto design,https://www.avito.ma/fr/hay_riad/voitures_d_occasion/Mercedes_Benz_Classe_GLC_Diesel_Automatique_2022_57021703.htm,rabat,hay riad
Voitures d'occasion,land rover range rover sport,"rabat, guich oudaya",il y a 1 heure,2016,Automatique,Diesel,N/A,Garage Mantaga,https://www.avito.ma/fr/guich_oudaya/voitures_d_occasion/Land_Rover_Range_Rover_Sport_57215682.htm,rabat,guich oudaya
Voitures d'occasion,jaguar xf,"casablanca, maarif",il y a 1 heure,2016,Automatique,Diesel,N/A,AUTO REDA,https://www.avito.ma/fr/maarif/voitures_d_occasion/JAGUAR_XF_56598783.htm,casablanca,maarif
Voitures d'occasion,audi q3 sportpak,"fès, narjis",il y a 1 heure,2023,Automatique,Diesel,N/A,MR,https://www.avito.ma/fr/narjis/voitures_d_occasion/Audi_Q3_sportpak_57475740.htm,fès,narjis
Voitures d'occasion,bmw x3 2014 sdrive b47,"casablanca, californie",il y a 1 heure,2014,Automatique,Diesel,N/A,Auto Fassi,https://www.avito.ma/fr/californie/voitures_d_occasion/BMW_x3_2014_sdrive_B47_57092180.htm,casablanca,californie
Voitures d'occasion,mercedes-benz glc300de coupe 2020,"rabat, yacoub el mansour",il y a 3 heures,2020,Automatique,Hybride,https://content.avito.ma/classifieds/images/10138296975?t=images,Auto Barangouch,https://www.avito.ma/fr/yacoub_el_mansour/voitures_d_occasion/Mercedes_Benz_GLC300de_Coupe_2020_56853621.htm,rabat,yacoub el mansour
Voitures d'occasion,stellantis - jeep compass - 2025,"casablanca, ain sebaa",il y a 1 heure,2025,Automatique,Essence,https://content.avito.ma/classifieds/images/10143222602?t=images,SPOTICAR MOULAY SLIMANE,https://www.avito.ma/fr/ain_sebaa/voitures_d_occasion/Stellantis___JEEP_Compass___2025_57290184.htm,casablanca,ain sebaa
Voitures d'occasion,mini countryman,"casablanca, aïn chock",il y a 8 heures,2017,Automatique,Diesel,https://content.avito.ma/classifieds/images/10143943290?t=images,Voitures particuliers certifiées,https://www.avito.ma/fr/aïn_chock/voitures_d_occasion/mini_countryman_57391549.htm,casablanca,aïn chock
Voitures d'occasion,hyundai creta automatique,"kénitra, al maghrib al arabi",il y a 1 heure,2018,Automatique,Diesel,N/A,AUTO DOUBLE VOIE,https://www.avito.ma/fr/al_maghrib_al_arabi/voitures_d_occasion/Hyundai_Creta_automatique_57369868.htm,kénitra,al maghrib al arabi
Voitures d'occasion,range rover sport,"rabat, hay el fath",il y a 1 heure,2014,Automatique,Diesel,N/A,Auto Ali,https://www.avito.ma/fr/hay_el_fath/voitures_d_occasion/Range_Rover_sport_57017864.htm,rabat,hay el fath
Voitures d'occasion,stellantis - renault megane coupé - 2023,"casablanca, ain sebaa",il y a 1 heure,2023,Automatique,Diesel,N/A,SPOTICAR MOULAY SLIMANE,https://www.avito.ma/fr/ain_sebaa/voitures_d_occasion/Stellantis___RENAULT_Megane_Coupé___2023_56899292.htm,casablanca,ain sebaa
Voitures d'occasion,skoda octavia diesel manuelle 2015 à rabat,"rabat, hay al farah",il y a 1 heure,2015,Manuelle,Diesel,N/A,ROYALCAR RABAT,https://www.avito.ma/fr/hay_al_farah/voitures_d_occasion/Skoda_Octavia_Diesel_Manuelle_2015_à_Rabat_57466086.htm,rabat,hay al farah
Voitures d'occasion,bmw x2 20d xdrive m édition 2026,"kénitra, centre",il y a 1 heure,2026,Automatique,Diesel,N/A,C-Cars,https://www.avito.ma/fr/centre/voitures_d_occasion/BMW_X2_20d_Xdrive_M_édition_2026_57388903.htm,kénitra,centre
Voitures d'occasion,peugeot 208 diesel manuelle 2025 à marrakech,"marrakech, centre ville",il y a 1 heure,2025,Manuelle,Diesel,N/A,NMR GENERAL,https://www.avito.ma/fr/centre_ville/voitures_d_occasion/Peugeot_208_Diesel_Manuelle_2025_à_Marrakech_57482345.htm,marrakech,centre ville
Voitures d'occasion,jaguar xf,"casablanca, maarif",il y a 1 heure,2016,Automatique,Diesel,N/A,AUTO REDA,https://www.avito.ma/fr/maarif/voitures_d_occasion/JAGUAR_XF_56598783.htm,casablanca,maarif
Voitures d'occasion,mercedes glc 300de hybride diesel,"casablanca, aïn chock",il y a 1 heure,2021,Automatique,Hybride,N/A,yassine,https://www.avito.ma/fr/aïn_chock/voitures_d_occasion/Mercedes_GLC_300de_hybride_diesel_57004621.htm,casablanca,aïn chock
Voitures d'occasion,land rover range rover sport,"rabat, guich oudaya",il y a 1 heure,2016,Automatique,Diesel,N/A,Garage Mantaga,https://www.avito.ma/fr/guich_oudaya/voitures_d_occasion/Land_Rover_Range_Rover_Sport_57215682.htm,rabat,guich oudaya
Voitures d'occasion,bmw série 1 118d pack sport,"casablanca, aïn chock",il y a 1 heure,2017,Automatique,Diesel,N/A,Auto Fassi,https://www.avito.ma/fr/aïn_chock/voitures_d_occasion/BMW_série_1_118d_pack_sport_57280001.htm,casablanca,aïn chock
Voitures d'occasion,renault captur 2020 automatique,"settat, toute la ville",il y a 1 heure,2020,Automatique,Diesel,N/A,Abdelmalek,https://www.avito.ma/fr/settat/voitures_d_occasion/Renault_Captur_2020_Automatique_57409190.htm,settat,toute la ville
Voitures d'occasion,ford focus diesel automatique 2021 tiatnium,"agadir, sonaba",il y a 1 heure,2021,Automatique,Diesel,N/A,«,https://www.avito.ma/fr/sonaba/voitures_d_occasion/Ford_Focus_Diesel_Automatique_2021_Tiatnium_57498594.htm,agadir,sonaba
Voitures d'occasion,peugeot 3008 gt line 2022 à fès,"fès, narjis",il y a 1 heure,2022,Automatique,Diesel,N/A,Auto Yassine,https://www.avito.ma/fr/narjis/voitures_d_occasion/Peugeot_3008_Gt_line_2022_À_Fès_57285926.htm,fès,narjis
