,lien,titre annonce,price,spans,proprietere,tags,images
52,https://www.avito.ma/fr/aïn_chock/voitures_d_occasion/Volkswagen_T_roc_55824912.htm,Volkswagen T-roc,,"['Aïn Chock, Casablanca', 'il y a 16 minutes', 'Aïn Chock, Casablanca', 'il y a 16 minutes']",AUTO SPOT,"[""Voitures d'occasion, à vendre"", '2024', 'Automatique', 'Diesel', '20000', 'Volkswagen', 'T-Roc', 'ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Caméra de recul', 'Climatisation', 'ESP']","['https://content.avito.ma/classifieds/images/10142697128?t=images', 'https://content.avito.ma/classifieds/images/10142697131?t=images', 'https://content.avito.ma/classifieds/images/10142697128?t=images', 'https://content.avito.ma/classifieds/images/10142697131?t=images']"
53,https://www.avito.ma/fr/aïn_chock/voitures_d_occasion/Modus_à_vendre_57511909.htm,Modus à vendre,67 000 DH,"['Aïn Chock, Casablanca', 'il y a 15 minutes', 'Aïn Chock, Casablanca', 'il y a 15 minutes']",Mohammed,"[""Voitures d'occasion, à vendre"", '2006', 'Manuelle', 'Diesel', '150000', 'Renault', 'Modus', 'ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Climatisation', 'Jantes aluminium', 'Vitres électriques']","['https://content.avito.ma/classifieds/images/10145113289?t=images', 'https://content.avito.ma/classifieds/images/10145113295?t=images', 'https://content.avito.ma/classifieds/images/10145113289?t=images', 'https://content.avito.ma/classifieds/images/10145113295?t=images']"
54,https://www.avito.ma/fr/maarif/voitures_d_occasion/BMW_Série_8_57402399.htm,BMW Série 8,Prix en hausse850 000 DH,"['Maarif, Casablanca', 'il y a 21 minutes', 'Maarif, Casablanca', 'il y a 21 minutes']",AUTO REDA,"[""Voitures d'occasion, à vendre"", '2020', 'Automatique', 'Diesel', '90000', 'BMW', 'Série 8']","['https://content.avito.ma/classifieds/images/10143975608?t=images', 'https://content.avito.ma/classifieds/images/10143975620?t=images', 'https://content.avito.ma/classifieds/images/10143975608?t=images', 'https://content.avito.ma/classifieds/images/10143975620?t=images']"
55,https://www.avito.ma/fr/aïn_diab/voitures_de_location/Location_de_voitures_55842299.htm,Location de voitures,,"['Aïn Diab, Casablanca', 'il y a 20 minutes', 'Aïn Diab, Casablanca', 'il y a 20 minutes']",vog car,"['Voitures de location, à louer']","['https://content.avito.ma/classifieds/images/10137748935?t=images', 'https://content.avito.ma/classifieds/images/10128948791?t=images', 'https://content.avito.ma/classifieds/images/10137748935?t=images', 'https://content.avito.ma/classifieds/images/10128948791?t=images']"
56,https://www.avito.ma/fr/2_mars/voitures_d_occasion/Volkswagen_Touareg_Confort_plus_56898469.htm,Volkswagen Touareg Confort plus,380 000 DH,"['2 Mars, Casablanca', 'il y a 21 minutes', '2 Mars, Casablanca', 'il y a 21 minutes']",Brookline auto,"[""Voitures d'occasion, à vendre"", '2021', 'Automatique', 'Diesel', '100000', 'Volkswagen', 'Touareg']","['https://content.avito.ma/classifieds/images/10144023231?t=images', 'https://content.avito.ma/classifieds/images/10144023229?t=images', 'https://content.avito.ma/classifieds/images/10144023231?t=images', 'https://content.avito.ma/classifieds/images/10144023229?t=images']"
57,https://www.avito.ma/fr/maarif/voitures_d_occasion/MERCEDES_BENZ_CLASSE_C_56384423.htm,MERCEDES-BENZ CLASSE C,Prix à la baisse420 000 DH,"['Maarif, Casablanca', 'il y a 19 minutes', 'Maarif, Casablanca', 'il y a 19 minutes']",AUTO REDA,"[""Voitures d'occasion, à vendre"", '2019', 'Automatique', 'Diesel', '100000', 'Mercedes-Benz', 'Classe C', 'ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Caméra de recul', 'Climatisation', 'ESP']","['https://content.avito.ma/classifieds/images/10144773108?t=images', 'https://content.avito.ma/classifieds/images/10144773116?t=images', 'https://content.avito.ma/classifieds/images/10144773108?t=images', 'https://content.avito.ma/classifieds/images/10144773116?t=images']"
58,https://www.avito.ma/fr/fes_jdid/voitures_d_occasion/Ford_Fiesta_Diesel_Manuelle_2019_à_Fès_57443601.htm,Ford Fiesta Diesel Manuelle 2019 à Fès,150 000 DH,"['Fes Jdid, Fès', 'il y a 16 minutes', 'Fes Jdid, Fès', 'il y a 16 minutes']",Otoclic,"[""Voitures d'occasion, à vendre"", '2019', 'Manuelle', 'Diesel', '90000', 'Ford', 'Fiesta', 'ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Climatisation', 'ESP', 'Limiteur de vitesse']","['https://content.avito.ma/classifieds/images/10144365249?t=images', 'https://content.avito.ma/classifieds/images/10144365252?t=images', 'https://content.avito.ma/classifieds/images/10144365249?t=images', 'https://content.avito.ma/classifieds/images/10144365252?t=images']"
59,https://www.avito.ma/fr/ain_sebaa/voitures_d_occasion/Nissan_Qashqai_1_3_l_DIG_T_150_CVT_Tekna_55716114.htm,Nissan Qashqai 1.3 l DIG-T 150 CVT Tekna,Prix en hausse247 000 DH,"['Ain Sebaa, Casablanca', 'il y a 19 minutes', 'Ain Sebaa, Casablanca', 'il y a 19 minutes']",otoclic casablanca,"[""Voitures d'occasion, à vendre"", '2022', 'Automatique', 'Essence', '75000', 'Nissan', 'Qashqai', 'ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Caméra de recul', 'Climatisation', 'ESP']","['https://content.avito.ma/classifieds/images/10142874916?t=images', 'https://content.avito.ma/classifieds/images/10142874925?t=images', 'https://content.avito.ma/classifieds/images/10142874916?t=images', 'https://content.avito.ma/classifieds/images/10142874925?t=images']"
60,https://www.avito.ma/fr/zerhounia/voitures_d_occasion/RENAULT_CLIO_M2022_56387788.htm,RENAULT CLIO M2022,,"['Zerhounia, Meknès', 'il y a 19 minutes', 'Zerhounia, Meknès', 'il y a 19 minutes']",SOULTANA AUTO,"[""Voitures d'occasion, à vendre"", '2022', 'Manuelle', 'Diesel', '110000', 'Renault', 'Clio', 'ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Caméra de recul', 'Climatisation', 'ESP']","['https://content.avito.ma/classifieds/images/10139972334?t=images', 'https://content.avito.ma/classifieds/images/10139972398?t=images', 'https://content.avito.ma/classifieds/images/10139972334?t=images', 'https://content.avito.ma/classifieds/images/10139972398?t=images']"
61,https://www.avito.ma/fr/agdal/voitures_d_occasion/Mercedes_Benz_Classe_E_Diesel_Automatique_2025_57511904.htm,Mercedes-Benz Classe E Diesel Automatique 2025,,"['Agdal, Rabat', 'il y a 16 minutes', 'Agdal, Rabat', 'il y a 16 minutes']",Fahdi,"[""Voitures d'occasion, à vendre"", '2025', 'Automatique', 'Diesel', '10000', 'Mercedes-Benz', 'Classe E']","['https://content.avito.ma/classifieds/images/10145113259?t=images', 'https://content.avito.ma/classifieds/images/10145113260?t=images', 'https://content.avito.ma/classifieds/images/10145113259?t=images', 'https://content.avito.ma/classifieds/images/10145113260?t=images']"
